"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.33600","1500","19116","MR3 3.7.45","3.18.64","Project 1","MyoMetrics Demo Record","","","male","2015-06-23T08:45:22.000Z","Treadmill Gait with MyoMotion & EMG  - Bilateral Gait Report"

"time","Activity","Marker","Ankle Dorsiflexion 左 (deg)","Ankle Abduction 左 (deg)","Ankle Inversion 左 (deg)","Ankle Dorsiflexion 右 (deg)","Ankle Abduction 右 (deg)","Ankle Inversion 右 (deg)","TIB.ANT. 左 (uV)","TIB.ANT. 右 (uV)","MED. GASTRO 左 (uV)","MED. GASTRO 右 (uV)"
0.41733,"","",-3.592061758,-0.4165938497,-1.449589252,-18.83848953,1.116243601,1.511395097,9.988192022,34.41392511,28.79437848,9.045273761
0.41800,"","",-3.55378437,-0.4305422902,-1.452901721,-18.7023201,1.168931603,1.450803876,10.0513676,34.51161069,28.87900546,9.05042671
0.41867,"","",-3.515506983,-0.4441807866,-1.456469059,-18.56549644,1.221354723,1.390212536,10.09338419,34.51298446,28.84648646,9.029870923
0.41933,"","",-3.477229357,-0.458129257,-1.460036278,-18.42932701,1.273777962,1.329997659,10.07843424,34.38276974,29.08245932,8.988983395
0.42000,"","",-3.438951969,-0.4720776975,-1.463348746,-18.29315758,1.3262012,1.269406319,10.06083188,34.3589739,29.64801842,8.958905856
0.42067,"","",-3.400674582,-0.4860261679,-1.466916084,-18.15633392,1.378889084,1.208814979,10.05950568,34.4803081,30.23943754,8.952072597
0.42133,"","",-3.362397194,-0.4999746084,-1.470228553,-18.02016449,1.431312323,1.148600101,10.03919063,34.72238776,30.21092685,8.954761092
0.42200,"","",-3.324119806,-0.513923049,-1.473795772,-17.88334084,1.483735561,1.088008761,10.00392564,35.02687628,30.62921298,8.965627093
0.42267,"","",-3.285842419,-0.5278715491,-1.47736311,-17.7471714,1.5361588,1.027417541,9.993074871,35.24182379,31.45983742,8.967195381
0.42333,"","",-3.247565031,-0.5418199897,-1.480675578,-17.61100197,1.58858192,0.9672025442,10.01073751,35.24516012,32.13181054,8.964282845
0.42400,"","",-3.208740711,-0.5557684302,-1.484242797,-17.47417831,1.641269922,0.9066112638,9.99307487,35.32380903,32.50128585,8.943727059
0.42467,"","",-3.170463324,-0.5697168708,-1.487810135,-17.33800888,1.693693161,0.8460199833,9.976798718,35.46893907,32.62741819,8.917738272
0.42533,"","",-3.137654066,-0.5718866587,-1.487555265,-17.20445824,1.702695131,0.8136544228,9.989759357,35.59915379,32.63556409,8.913481488
0.42600,"","",-3.104298115,-0.5740563869,-1.487300515,-17.07156181,1.711697102,0.7809125781,10.00061012,35.74158534,32.78884947,8.93493344
0.42667,"","",-3.070942163,-0.5762261748,-1.487045646,-16.93801117,1.720963717,0.7485470176,9.970770513,35.85958322,32.79971068,8.944175142
0.42733,"","",-3.037585974,-0.5783959031,-1.486790895,-16.80446053,1.729965687,0.7158051729,9.959919746,35.88671537,33.23377146,8.951176431
0.42800,"","",-3.004230022,-0.580565691,-1.486536026,-16.67090988,1.738967657,0.6830632687,10.02231166,35.84604167,33.47194244,8.940590481
0.42867,"","",-2.971420765,-0.5827354193,-1.486281276,-16.53801537,1.748234391,0.6506977677,10.10580229,35.81351253,33.80424394,8.906872273
0.42933,"","",-2.938064814,-0.5849052072,-1.486026525,-16.40446472,1.757236362,0.6179558635,10.16958069,35.78098338,34.2048806,8.900095024
0.43000,"","",-2.904708862,-0.5867649913,-1.485771656,-16.27091408,1.766238332,0.5855903625,10.19942031,35.76538117,34.53498399,8.890573272
0.43067,"","",-2.871352673,-0.5889347792,-1.485516906,-16.13801765,1.775505066,0.5528484583,10.20074651,35.79040358,35.24982012,8.856855062
0.43133,"","",-2.837996721,-0.5911045074,-1.485262036,-16.00446701,1.784507036,0.5201066136,10.19532113,35.8683656,36.14095706,8.832658607
